"","county_fips","state_name","county_name","votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff","trump16","clinton16","otherpres16","romney12","obama12","otherpres12","demsen16","repsen16","othersen16","demhouse16","rephouse16","otherhouse16","demgov16","repgov16","othergov16","repgov14","demgov14","othergov14","total_population","cvap","white_pct","black_pct","hispanic_pct","nonwhite_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_hh_inc","clf_unemploy_pct","lesshs_pct","lesscollege_pct","lesshs_whites_pct","lesscollege_whites_pct","rural_pct","ruralurban_cc","POPULATION","LATITUDE","LONGITUDE"
"39","01077","Alabama","Lauderdale County",31721,11915,44339,19806,0.71541983355511,0.268725050181556,0.446694783373554,27899,9952,1674,23911,12511,502,11652,27092,43,11805,26710,42,NA,NA,NA,15725,7399,0,92641,72735,84.9915264299824,9.76349564447707,2.39310888267614,15.0084735700176,2.05308664630131,52.2230977644887,37.8029166351831,18.3126261590441,43657,7.64039130843759,15.1374548679293,78.3207702540065,13.8632363880472,77.647549757788,49.2951061924948,3,93564,34.865524,-87.608858
"40","01079","Alabama","Lawrence County",12322,3562,16031,8760,0.768635768199114,0.222194498159815,0.546441270039299,10833,3627,369,8874,5069,169,4171,10254,16,0,10662,134,NA,NA,NA,5851,3293,0,33433,25995,76.657793198337,11.3660156133162,2.06682020757934,23.342206801663,0.726826787904167,51.329524721084,35.8687524302336,16.1517063978704,42339,8.31517792302106,22.4569940666752,89.6913817390191,23.3167965981573,90.1651856293954,91.2897871225138,3,33073,34.540863,-87.27158
"41","01081","Alabama","Lee County",42221,27860,71449,14361,0.590924995451301,0.38992848045459,0.200996514996711,34617,21230,3344,32194,21381,784,21475,36684,135,21148,36909,113,NA,NA,NA,16188,10004,0,153947,115345,67.8675128453299,23.0865167882453,3.6902310535444,32.1324871546701,5.1576191806271,50.6148219841894,49.202647664456,10.3210845290912,45056,6.07052896725441,11.2875836579762,65.5878533613026,7.61671558532116,61.1153453224577,27.4094989554144,3,174241,32.592265,-85.359778
"42","01083","Alabama","Limestone County",34640,13672,49235,20968,0.703564537422565,0.277688636132832,0.425875901289733,29067,9468,1759,25295,9829,335,10233,29203,57,10243,29093,46,NA,NA,NA,17471,5327,0,90257,67250,77.436653112778,12.6749171809389,5.68930941644415,22.563346887222,4.3298580719501,49.9806109221445,37.5815726204062,13.910278427158,51115,7.9436443632342,16.8434457411825,76.7393126571668,14.9047667036179,75.5779502166683,57.6091420840279,2,103570,34.803982,-86.922366
"43","01085","Alabama","Lowndes County",1836,4972,6835,-3136,0.26861741038771,0.727432333577176,-0.458814923189466,1751,4883,50,1756,5747,18,4580,1839,7,5174,0,61,NA,NA,NA,1174,3127,0,10565,8100,24.4013251301467,74.6426881211548,0.473260766682442,75.5986748698533,0.302886890676763,52.2479886417416,38.5328916232844,17.3402744912447,27914,12.2660098522167,25.191905094208,87.7180739706909,9.7,76.4,100,2,10311,32.164241,-86.615186
"44","01087","Alabama","Macon County",1541,7108,8723,-5567,0.176659406167603,0.814857273873667,-0.638197867706064,1431,7566,143,1331,9045,18,7442,1553,9,7400,1600,7,NA,NA,NA,829,4828,0,19684,16035,15.4236943710628,81.5332249542776,1.6460069091648,84.5763056289372,1.12781954887218,53.9118065433855,42.5828083722821,16.7496443812233,32390,15.0369210114119,19.5343966489447,79.9581118092476,13.4742404227213,77.4988991633642,55.5472683199702,6,19532,32.429073,-85.711764
"45","01089","Alabama","Madison County",102780,87286,194767,15494,0.527707465843803,0.44815600178675,0.0795514640570528,89520,62822,11047,90884,62015,2160,62870,97796,324,63664,96739,295,NA,NA,NA,60065,25929,0,349973,261510,65.4310475379529,23.9829929737437,4.67521780251619,34.5689524620471,5.56071468370417,51.1148002845934,39.3998965634492,13.6679115246033,60150,7.33354723076583,9.18516829835649,59.3280730861946,6.89611232805228,55.7004423463165,16.4415147650465,2,388153,34.742996,-86.61533
"46","01091","Alabama","Marengo County",5343,5488,10900,-145,0.490183486238532,0.50348623853211,-0.013302752293578,5233,5615,146,5336,6167,34,5419,5294,5,7343,0,139,NA,NA,NA,3149,3759,0,20066,15310,45.4500149506628,52.7608890660819,0.946875311472142,54.5499850493372,0.907006877304894,52.9901325625436,37.5161965513804,18.6384929731885,30713,14.0748413828823,16.141530813656,85.2109072300607,12.3762376237624,80.8880888088809,69.3156417938841,7,19323,32.342372,-87.803475
"47","01093","Alabama","Marion County",12205,1463,13807,10742,0.88397189831245,0.105960744549866,0.778011153762584,11274,1432,278,9697,2249,159,1961,10753,27,0,11283,120,NA,NA,NA,6058,2098,0,30239,23725,92.0466946658289,3.24746188696716,2.40087304474354,7.95330533417111,1.61711696815371,50.5340785078872,34.313304011376,20.0965640398161,34074,7.64816852696117,20.108645185254,87.5336614356022,19.7384185303514,87.2953274760383,88.8549519105797,7,29341,34.110448,-87.876476
"48","01095","Alabama","Marshall County",33191,5943,39655,27248,0.836994073887278,0.149867608120035,0.687126465767242,29233,4917,1166,25867,6299,400,5898,28532,55,0,29774,395,NA,NA,NA,16515,3342,0,94534,65925,82.3418029492035,2.09025324221973,12.9159878985339,17.6581970507965,7.17096494382973,50.708739712696,39.3191867476252,16.4046797977447,39831,7.17379206890712,21.3947542846321,83.4327557365148,17.4701307177693,81.8209837373316,53.2686870424322,4,97612,34.311249,-86.291329
"49","01097","Alabama","Mobile County",101243,79474,183164,21769,0.552745080911096,0.433895306938045,0.118849773973052,95116,72186,5435,94893,78760,1211,71602,97911,379,0,106568,5360,NA,NA,NA,48401,34530,0,414291,308975,57.8508825921876,35.2015853590834,2.64475935996679,42.1491174078124,3.10506383194421,52.1358175774999,40.7078599342008,14.5436420293948,44263,8.69685418228411,14.2226248031052,77.4876042678424,12.4249678644292,74.2337582697501,20.0202425228576,2,414809,30.684049,-88.175178
